active;measurement_id;device_id;unit;measurement_index;Location_facility_id;time_min;time_max;output_format;;;;;;
false;pAcHome;VIC-GXHQ2104PTK9Z-100;W;1;AI18;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pBat;VIC-GXHQ2104PTK9Z-100;W;1;AI18;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;sOc;VIC-GXHQ2104PTK9Z-100;;1;AI18;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;vBat;VIC-GXHQ2104PTK9Z-100;V;1;AI18;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;tBat;VIC-GXHQ2104PTK9Z-227;DEG_C;1;AI18;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iAcGrid;VIC-GXHQ2104PTK9Z-30;A;1;AI18;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
true;iBat;VIC-GXHQ2104LN3BG-100;A;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;iDcPV;VIC-GXHQ2104LN3BG-100;A;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;pAcGrid;VIC-GXHQ2104LN3BG-100;W;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;pAcHome;VIC-GXHQ2104LN3BG-100;W;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;pBat;VIC-GXHQ2104LN3BG-100;W;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;pacGridSetPoint;VIC-GXHQ2104LN3BG-100;;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;pmppt;VIC-GXHQ2104LN3BG-100;W;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;relay1State;VIC-GXHQ2104LN3BG-100;;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;relay2State;VIC-GXHQ2104LN3BG-100;;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;sOc;VIC-GXHQ2104LN3BG-100;;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;stateBat;VIC-GXHQ2104LN3BG-100;;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;vBat;VIC-GXHQ2104LN3BG-100;V;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;emppt;VIC-GXHQ2104LN3BG-226;W;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;maxProductionPower;VIC-GXHQ2104LN3BG-226;;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;maxProductionPowerYesterday;VIC-GXHQ2104LN3BG-226;W;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;mppOperationMode;VIC-GXHQ2104LN3BG-226;;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;yield;VIC-GXHQ2104LN3BG-226;Wh;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;yieldPower;VIC-GXHQ2104LN3BG-226;W;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;yieldYesterday;VIC-GXHQ2104LN3BG-226;Wh;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;fAcGrid;VIC-GXHQ2104LN3BG-227;Hz;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;fAcHome;VIC-GXHQ2104LN3BG-227;Hz;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;iAcHome;VIC-GXHQ2104LN3BG-227;A;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;tBat;VIC-GXHQ2104LN3BG-227;DEG_C;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;vAcHome;VIC-GXHQ2104LN3BG-227;V;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;eAcGridIn;VIC-GXHQ2104LN3BG-30;Wh;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;eAcGridOut;VIC-GXHQ2104LN3BG-30;Wh;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;iAcGrid;VIC-GXHQ2104LN3BG-30;A;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
true;vAcGrid;VIC-GXHQ2104LN3BG-30;V;1;AI13;2024-01-01T00:00:00.000000Z;2026-02-28T23:59:59.000000Z;csv;;;;;;
